년도별 산불통계,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계
2023,03,22,12:37,수,2023,03,22,16:00,남부,경북,상주,공성,영오,입,기타(직접입력),입산자실화추정,0.58
2023,03,22,12:20,수,2023,03,22,14:20,충북,충북,단양,적성,성곡,기,기타(직접입력),조사중,1
2023,03,22,12:16,수,2023,03,22,19:00,북부,강원,양구,국토정중앙,적,기,기타(직접입력),배터리발화,1
2023,03,22,11:25,수,2023,03,22,13:30,전북,전북,무주,무풍,철목,입,기타(직접입력),입산자실화추정,0.1
2023,03,22,11:07,수,2023,03,22,16:00,전북,전북,완주,소양,명덕,기,기타(직접입력),비닐하우스화재,0.2
2023,03,22,01:10,수,2023,03,22,04:06,충북,충북,제천,백운,평동,담,기타(직접입력),담뱃불실화,0.4
2023,03,21,17:49,화,2023,03,21,20:06,경기,경기,여주,점동,당진,기,기타(직접입력),미상,0.02
2023,03,21,16:26,화,2023,03,22,01:00,동부,강원,고성,간성,진부,기,기타(직접입력),원인미상(낙뢰추정),0.01
2023,03,21,15:17,화,2023,03,21,18:00,강원,강원,원주,소초,교항,,기타(직접입력),밭두렁소각,0.5
2023,03,21,14:47,화,2023,03,21,15:20,경기,경기,시흥,,과림,담,기타(직접입력),담뱃불실화,0.02
2023,03,21,14:36,화,2023,03,21,18:20,경기,경기,가평,북내,적목,쓰,쓰레기소각,쓰레기소각,2.9
2023,03,21,14:27,화,2023,03,21,18:10,북부,강원,양구,방산,건슬,기,기타(직접입력),불발탄발화추정,0.3
2023,03,21,14:05,화,2023,03,21,16:10,경남,경남,의령,영덕,죽전,기,작업장실화,산업현장실화,0.1
2023,03,21,13:52,화,2023,03,21,17:02,경북,경북,영덕,남정,사암,기,기타(직접입력),조사중,0.5
2023,03,21,12:55,화,2023,03,21,16:10,경남,경남,산청,생비량,제보,기,작업장실화,건축공사장실화,2
2023,03,21,12:52,화,2023,03,21,14:20,울산,울산,울주,두동,삼정,입,기타(직접입력),입산자실화추정,1.2
2023,03,21,12:48,화,2023,03,21,14:50,충북,충북,청주 상당,남성,추정,기,기타(직접입력),전기합선추정,1
2023,03,21,12:20,화,2023,03,21,14:05,전남,전남,광양,진상,황죽,쓰,기타(직접입력),쓰레기소각,0.3
2023,03,21,12:12,화,2023,03,21,16:30,경북,경북,안동,도산,의일,기,기타(직접입력),조사중,10
2023,03,21,11:27,화,2023,03,21,14:30,전남,전남,영광,염산,야월,입,기타(직접입력),입산자실화추정,0.1
2023,03,21,10:12,화,2023,03,21,10:50,경기,경기,파주,탄현,법흥,기,기타(직접입력),원인미상,0.01
2023,03,20,14:50,월,2023,03,20,16:30,충남,충남,천안 동남,목천,도장,기,기타(직접입력),`전기누전,0.1
2023,03,20,13:51,월,2023,03,20,14:50,전북,전북,장수,장계,명덕,담,기타(직접입력),담뱃불실화,0.1
2023,03,20,13:48,월,2023,03,20,21:00,충남,충남,서천,마산,요곡,,농산폐기물소각,농산부산불소각(볏짚),16.81
2023,03,20,13:31,월,2023,03,20,17:40,전남,전남,고흥,영남,양사,기,작업장실화,용접불씨취급부주의,0.1
2023,03,20,13:23,월,2023,03,20,16:50,충남,충남,서천,판교,흥림,입,기타(직접입력),입산자실화(담뱃불추정),0.03
